__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
57;NFSe/infNFSe/DPS/infDPS/;cMotivoEmisTI;E;N;0-1;1;"Motivo da Emissão da DPS pelo Tomador/Intermediário:

1 - Importação de Serviço;
2 - Tomador/Intermediário obrigado a emitir NFS-e por legislação municipal;
3 - Tomador/Intermediário emitindo NFS-e por recusa de emissão pelo prestador;
4 - Tomador/Intermediário emitindo por rejeitar a NFS-e emitida pelo prestador;";Se o município de incidência não for o do tomador, o sistema deve rejeitar eventuais retenções.;;;;;;
58;NFSe/infNFSe/DPS/infDPS/;chNFSeRej;E;N;0-1;50;Chave de Acesso da NFS-e rejeitada pelo Tomador/Intermediário.;O tomador deve referenciar neste campo a nota do prestador, utilizando-se da chave da NFS-e emitida pelo prestador e previamente rejeitada pelo tomador, ou seja, o Tomador/Intermediário antes de emitir sua NFS-e pelo motivo 4 do campo cMotivoEmisTI deverá emitir um Evento de Manifestação de NFS-e de rejeição para a NFS-e emitida pelo prestador, cuja chave de acesso será informada neste campo chNFSeRej.;;;;;;
59;NFSe/infNFSe/DPS/infDPS/;cLocEmi;E;N;1-1;7;Código de 7 dígitos da localidade emissora da NFS-e.;"O campo cLocEmi (Código da Localidade de Emissão da DPS) sempre corresponderá a um município brasileiro e identificado pela tabela de códigos de municípios do IBGE ou um trecho de concessão de exploração de rodovia para a qual a NFS-e foi emiitida.

O município emissor da NFS-e é aquele município em que o emitente da DPS está cadastrado e autorizado a ""emitir uma NFS-e"", ou seja, emitir uma DPS para que o sistema nacional valide as informações nela prestadas e gere a NFS-e correspondente para o emitente.

Para que o sistema nacional emita a NFS-e o município emissor deve ser conveniado e estar ativo no sistema nacional. Além disso o convênio do município deve permitir que os contribuintes do município utilize os emissores públicos do Sistema Nacional NFS-e.";;;;;;
60;NFSe/infNFSe/DPS/infDPS/;subst;G;-;0-1;-;Grupo de informações relativas à NFS-e a ser substituída;-;;;;;;
61;NFSe/infNFSe/DPS/infDPS/subst;chSubstda;E;C;1-1;50;Chave de Acesso da NFS-e a ser substituída.;"O município conveniado ao Sistema Nacional NFS-e deverá parametrizar o prazo máximo permitido para que o emitente da NFS-e possa substituir uma NFS-e que o município tenha gerado.

Prazo máximo parametrizável é 2 anos.

O município conveniado ao Sistema Nacional NFS-e deverá parametrizar se impede ou não a substituição de nota caso a nota Substuída não tenha as informações do NI do tomador

Um evento de bloqueio de ofício para qualquer outro tipo de evento é considerado vigente se não há um correspondente evento de desbloqueio de ofício que contemple o tipo de evento bloqueado.";;;;;;
62;NFSe/infNFSe/DPS/infDPS/subst;cMotivo;E;N;1-1;1;"Código de justificativa para substituição de NFS-e:

1 - Desenquadramento de NFS-e do Simples Nacional;
2 - Enquadramento de NFS-e no Simples Nacional;
3 - Inclusão Retroativa de Imunidade/Isenção para NFS-e;
4 - Exclusão Retroativa de Imunidade/Isenção para NFS-e;
5 - Rejeição de NFS-e pelo tomador ou pelo intermediário se responsável pelo recolhimento do tributo;
99 - Outros;"; Rejeição de NFS-e pelo tomador ou pelo intermediário se responsável pelo recolhimento do tributo.;;;;;;
63;NFSe/infNFSe/DPS/infDPS/subst;xMotivo;E;C;0-1;15-255;Descrição do motivo da substituição da NFS-e quando o emitente deve descrever o motivo da substituição para outros motivos (cMotivo = 99).;-;;;;;;
64;NFSe/infNFSe/DPS/infDPS/;prest;G;-;1-1;-;Grupo de informações relativas ao prestador do serviço;-;;;;;;
65;NFSe/infNFSe/DPS/infDPS/prest/;CNPJ;CE;N;1-1;14;Número da inscrição federal (CNPJ) do prestador do serviço.;-;;;;;;
66;NFSe/infNFSe/DPS/infDPS/prest/;CPF;CE;N;1-1;11;Número da inscrição federal (CPF) do prestador do serviço.;-;;;;;;
